,Unnamed: 0,Random_Id,data,date_iso8601,event_color,event_date,event_name,formatted_date,instance_question_id,instructor_question_number,qid,question_id,student_question_number,submission_id,variant_id,variant_number
0,0,163,,2020-10-18T22:29:57-07,gray3,2020-10-19T05:29:57.990Z,Begin,2020-10-18 22:29:57 (PDT),,,,,,,,
1,1,163,,2020-10-18T22:29:58-07,green1,2020-10-19T05:29:58.040Z,View assessment overview,2020-10-18 22:29:58 (PDT),,,,,,,,
2,2,163,"{'params': {}, 'options': {}, 'true_answer': {}, 'variant_seed': 'p0ey53'}",2020-10-18T22:30:19-07,gray1,2020-10-19T05:30:19.353Z,New variant,2020-10-18 22:30:19 (PDT),119981.0,1.0,PLEDGE,1046.0,1.0,,75930.0,1.0
3,3,163,,2020-10-18T22:30:19-07,green3,2020-10-19T05:30:19.415Z,View variant,2020-10-18 22:30:19 (PDT),119981.0,1.0,PLEDGE,1046.0,1.0,,75930.0,1.0
4,4,163,"{'correct': True, 'submitted_answer': {'pledge': 'Jack Llewellyn Werland'}}",2020-10-18T22:31:12-07,blue3,2020-10-19T05:31:12.956Z,Submission,2020-10-18 22:31:12 (PDT),119981.0,1.0,PLEDGE,1046.0,1.0,118364.0,75930.0,1.0
5,5,163,,2020-10-18T22:31:13-07,green3,2020-10-19T05:31:13.059Z,View variant,2020-10-18 22:31:13 (PDT),119981.0,1.0,PLEDGE,1046.0,1.0,,75930.0,1.0
6,6,163,"{'params': {}, 'options': {}, 'true_answer': {}, 'variant_seed': 'viusgl'}",2020-10-18T22:31:15-07,gray1,2020-10-19T05:31:15.291Z,New variant,2020-10-18 22:31:15 (PDT),119982.0,2.0,SURVEY,1372.0,2.0,,75934.0,1.0
7,7,163,,2020-10-18T22:31:15-07,green3,2020-10-19T05:31:15.349Z,View variant,2020-10-18 22:31:15 (PDT),119982.0,2.0,SURVEY,1372.0,2.0,,75934.0,1.0
8,8,163,"{'correct': True, 'submitted_answer': {'survey': 'Turing'}}",2020-10-18T22:31:53-07,blue3,2020-10-19T05:31:53.430Z,Submission,2020-10-18 22:31:53 (PDT),119982.0,2.0,SURVEY,1372.0,2.0,118366.0,75934.0,1.0
9,9,163,,2020-10-18T22:31:53-07,green3,2020-10-19T05:31:53.536Z,View variant,2020-10-18 22:31:53 (PDT),119982.0,2.0,SURVEY,1372.0,2.0,,75934.0,1.0
