,Unnamed: 0,Random_Id,data,date_iso8601,event_color,event_date,event_name,formatted_date,instance_question_id,instructor_question_number,qid,question_id,student_question_number,submission_id,variant_id,variant_number
0,0,249,,2020-10-17T00:40:02-07,gray3,2020-10-17T07:40:02.900Z,Begin,2020-10-17 00:40:02 (PDT),,,,,,,,
1,1,249,,2020-10-17T00:40:03-07,green1,2020-10-17T07:40:03.113Z,View assessment overview,2020-10-17 00:40:03 (PDT),,,,,,,,
2,2,249,"{'params': {}, 'options': {}, 'true_answer': {}, 'variant_seed': 'z6wlh3'}",2020-10-17T00:40:10-07,gray1,2020-10-17T07:40:10.968Z,New variant,2020-10-17 00:40:10 (PDT),103811.0,1.0,PLEDGE,1046.0,1.0,,70166.0,1.0
3,3,249,,2020-10-17T00:40:11-07,green3,2020-10-17T07:40:11.009Z,View variant,2020-10-17 00:40:11 (PDT),103811.0,1.0,PLEDGE,1046.0,1.0,,70166.0,1.0
4,4,249,"{'correct': True, 'submitted_answer': {'pledge': 'PEIQI YANG'}}",2020-10-17T00:40:40-07,blue3,2020-10-17T07:40:40.391Z,Submission,2020-10-17 00:40:40 (PDT),103811.0,1.0,PLEDGE,1046.0,1.0,109264.0,70166.0,1.0
5,5,249,,2020-10-17T00:40:40-07,green3,2020-10-17T07:40:40.641Z,View variant,2020-10-17 00:40:40 (PDT),103811.0,1.0,PLEDGE,1046.0,1.0,,70166.0,1.0
6,6,249,"{'params': {}, 'options': {}, 'true_answer': {}, 'variant_seed': 'hju2jv'}",2020-10-17T00:40:45-07,gray1,2020-10-17T07:40:45.857Z,New variant,2020-10-17 00:40:45 (PDT),103812.0,2.0,SURVEY,1372.0,2.0,,70167.0,1.0
7,7,249,,2020-10-17T00:40:45-07,green3,2020-10-17T07:40:45.898Z,View variant,2020-10-17 00:40:45 (PDT),103812.0,2.0,SURVEY,1372.0,2.0,,70167.0,1.0
8,8,249,"{'correct': True, 'submitted_answer': {'survey': 'Turing'}}",2020-10-17T00:40:58-07,blue3,2020-10-17T07:40:58.718Z,Submission,2020-10-17 00:40:58 (PDT),103812.0,2.0,SURVEY,1372.0,2.0,109265.0,70167.0,1.0
9,9,249,,2020-10-17T00:40:58-07,green3,2020-10-17T07:40:58.960Z,View variant,2020-10-17 00:40:58 (PDT),103812.0,2.0,SURVEY,1372.0,2.0,,70167.0,1.0
10,10,249,"{'params': {'t': [{'key': 'a', 'html': 'By default, all data on the internet is encrypted and secure.'}, {'key': 'b', 'html': 'If you share something online accidentally, but quickly delete it, you still have control over that information'}, {'key': 'c', 'html': 'To remove something that has been shared (via social media), you just have to “unshare” it, and it’s gone from any computer that had originally had access.'}, {'key': 'd', 'html': 'With the right software and configuration, you can effectively “undo” the sharing of content.'}, {'key': 'e', 'html': 'None of the above'}]}, 'options': {}, 'true_answer': {'t': {'key': 'e', 'html': 'None of the above'}}, 'variant_seed': 'bxdpsm'}",2020-10-17T00:41:01-07,gray1,2020-10-17T07:41:01.893Z,New variant,2020-10-17 00:41:01 (PDT),103813.0,3.0,lecture/privacy,1029.0,3.0,,70168.0,1.0
11,11,249,,2020-10-17T00:41:01-07,green3,2020-10-17T07:41:01.939Z,View variant,2020-10-17 00:41:01 (PDT),103813.0,3.0,lecture/privacy,1029.0,3.0,,70168.0,1.0
12,12,249,"{'correct': True, 'submitted_answer': {'t': 'e'}}",2020-10-17T00:41:48-07,blue3,2020-10-17T07:41:48.303Z,Submission,2020-10-17 00:41:48 (PDT),103813.0,3.0,lecture/privacy,1029.0,3.0,109266.0,70168.0,1.0
13,13,249,,2020-10-17T00:41:48-07,green3,2020-10-17T07:41:48.530Z,View variant,2020-10-17 00:41:48 (PDT),103813.0,3.0,lecture/privacy,1029.0,3.0,,70168.0,1.0
