,Unnamed: 0,Random_Id,data,date_iso8601,event_color,event_date,event_name,formatted_date,instance_question_id,instructor_question_number,qid,question_id,student_question_number,submission_id,variant_id,variant_number
0,0,270,,2020-10-19T22:12:44-07,gray3,2020-10-20T05:12:44.217Z,Begin,2020-10-19 22:12:44 (PDT),,,,,,,,
1,1,270,,2020-10-19T22:12:44-07,green1,2020-10-20T05:12:44.254Z,View assessment overview,2020-10-19 22:12:44 (PDT),,,,,,,,
2,2,270,"{'params': {}, 'options': {}, 'true_answer': {}, 'variant_seed': '1tbhdat'}",2020-10-19T22:12:46-07,gray1,2020-10-20T05:12:46.981Z,New variant,2020-10-19 22:12:46 (PDT),127639.0,1.0,PLEDGE,1046.0,1.0,,78804.0,1.0
3,3,270,,2020-10-19T22:12:47-07,green3,2020-10-20T05:12:47.033Z,View variant,2020-10-19 22:12:47 (PDT),127639.0,1.0,PLEDGE,1046.0,1.0,,78804.0,1.0
4,4,270,"{'correct': True, 'submitted_answer': {'pledge': 'Alexander Kaveh Mehregan'}}",2020-10-19T22:12:54-07,blue3,2020-10-20T05:12:54.783Z,Submission,2020-10-19 22:12:54 (PDT),127639.0,1.0,PLEDGE,1046.0,1.0,123899.0,78804.0,1.0
5,5,270,,2020-10-19T22:12:54-07,green3,2020-10-20T05:12:54.859Z,View variant,2020-10-19 22:12:54 (PDT),127639.0,1.0,PLEDGE,1046.0,1.0,,78804.0,1.0
6,6,270,"{'params': {}, 'options': {}, 'true_answer': {}, 'variant_seed': '1t6i7no'}",2020-10-19T22:12:56-07,gray1,2020-10-20T05:12:56.431Z,New variant,2020-10-19 22:12:56 (PDT),127640.0,2.0,SURVEY,1372.0,2.0,,78805.0,1.0
7,7,270,,2020-10-19T22:12:56-07,green3,2020-10-20T05:12:56.477Z,View variant,2020-10-19 22:12:56 (PDT),127640.0,2.0,SURVEY,1372.0,2.0,,78805.0,1.0
8,8,270,"{'params': {'t': [{'key': 'a', 'html': 'The online world and the real world are different, so as long as your username doesn’t tell anything about you, you don’t put anything about yourself in your online “profile” (e.g., photo, address, etc), and what you post isn’t connected to you, you can safely remain anonymous online'}, {'key': 'b', 'html': 'Only you have an interest in maintaining your privacy.'}, {'key': 'c', 'html': 'Thankfully, there are many entities (e.g., the government, your school, your employer, your bank, etc.) looking out for your privacy, so you don’t have to actively maintain it.'}, {'key': 'd', 'html': 'To remove something that has been shared (via social media), you just have to “unshare” it, and it’s gone from any computer that had originally had access.'}, {'key': 'e', 'html': 'None of the above'}]}, 'options': {}, 'true_answer': {'t': {'key': 'b', 'html': 'Only you have an interest in maintaining your privacy.'}}, 'variant_seed': 'iqt66c'}",2020-10-19T22:13:08-07,gray1,2020-10-20T05:13:08.087Z,New variant,2020-10-19 22:13:08 (PDT),127641.0,3.0,lecture/privacy,1029.0,3.0,,78806.0,1.0
9,9,270,,2020-10-19T22:13:08-07,green3,2020-10-20T05:13:08.143Z,View variant,2020-10-19 22:13:08 (PDT),127641.0,3.0,lecture/privacy,1029.0,3.0,,78806.0,1.0
