,Unnamed: 0,Random_Id,data,date_iso8601,event_color,event_date,event_name,formatted_date,instance_question_id,instructor_question_number,qid,question_id,student_question_number,submission_id,variant_id,variant_number
0,0,84,,2020-10-19T00:42:13-07,gray3,2020-10-19T07:42:13.202Z,Begin,2020-10-19 00:42:13 (PDT),,,,,,,,
1,1,84,,2020-10-19T00:42:13-07,green1,2020-10-19T07:42:13.247Z,View assessment overview,2020-10-19 00:42:13 (PDT),,,,,,,,
2,2,84,"{'params': {}, 'options': {}, 'true_answer': {}, 'variant_seed': '3b02qy'}",2020-10-19T00:42:28-07,gray1,2020-10-19T07:42:28.754Z,New variant,2020-10-19 00:42:28 (PDT),120897.0,1.0,PLEDGE,1046.0,1.0,,76246.0,1.0
3,3,84,,2020-10-19T00:42:28-07,green3,2020-10-19T07:42:28.794Z,View variant,2020-10-19 00:42:28 (PDT),120897.0,1.0,PLEDGE,1046.0,1.0,,76246.0,1.0
4,4,84,"{'correct': True, 'submitted_answer': {'pledge': 'Samantha Moreno'}}",2020-10-19T00:43:03-07,blue3,2020-10-19T07:43:03.807Z,Submission,2020-10-19 00:43:03 (PDT),120897.0,1.0,PLEDGE,1046.0,1.0,118874.0,76246.0,1.0
5,5,84,,2020-10-19T00:43:03-07,green3,2020-10-19T07:43:03.886Z,View variant,2020-10-19 00:43:03 (PDT),120897.0,1.0,PLEDGE,1046.0,1.0,,76246.0,1.0
6,6,84,,2020-10-19T00:43:14-07,green1,2020-10-19T07:43:14.291Z,View assessment overview,2020-10-19 00:43:14 (PDT),,,,,,,,
7,7,84,"{'params': {}, 'options': {}, 'true_answer': {}, 'variant_seed': '1wxu11'}",2020-10-19T00:43:19-07,gray1,2020-10-19T07:43:19.493Z,New variant,2020-10-19 00:43:19 (PDT),120898.0,2.0,SURVEY,1372.0,2.0,,76248.0,1.0
8,8,84,,2020-10-19T00:43:19-07,green3,2020-10-19T07:43:19.531Z,View variant,2020-10-19 00:43:19 (PDT),120898.0,2.0,SURVEY,1372.0,2.0,,76248.0,1.0
9,9,84,"{'correct': True, 'submitted_answer': {'survey': 'Turing'}}",2020-10-19T01:15:07-07,blue3,2020-10-19T08:15:07.680Z,Submission,2020-10-19 01:15:07 (PDT),120898.0,2.0,SURVEY,1372.0,2.0,118978.0,76248.0,1.0
10,10,84,,2020-10-19T01:15:07-07,green3,2020-10-19T08:15:07.757Z,View variant,2020-10-19 01:15:07 (PDT),120898.0,2.0,SURVEY,1372.0,2.0,,76248.0,1.0
11,11,84,"{'params': {'t': [{'key': 'a', 'html': 'With the right software and configuration, you can be anonymous when you’re online.'}, {'key': 'b', 'html': 'Only you have an interest in maintaining your privacy.'}, {'key': 'c', 'html': 'The online world and the physical world are separate.'}, {'key': 'd', 'html': 'The online world and the real world are different, so as long as your username doesn’t tell anything about you, you don’t put anything about yourself in your online “profile” (e.g., photo, address, etc), and what you post isn’t connected to you, you can safely remain anonymous online'}, {'key': 'e', 'html': 'None of the above'}]}, 'options': {}, 'true_answer': {'t': {'key': 'b', 'html': 'Only you have an interest in maintaining your privacy.'}}, 'variant_seed': '20ccel'}",2020-10-19T01:15:16-07,gray1,2020-10-19T08:15:16.154Z,New variant,2020-10-19 01:15:16 (PDT),120899.0,3.0,lecture/privacy,1029.0,3.0,,76298.0,1.0
12,12,84,,2020-10-19T01:15:16-07,green3,2020-10-19T08:15:16.192Z,View variant,2020-10-19 01:15:16 (PDT),120899.0,3.0,lecture/privacy,1029.0,3.0,,76298.0,1.0
13,13,84,"{'params': {'0': [{'key': 'a', 'html': 'Algorithms can <i>adapt</i>, like a living thing'}, {'key': 'b', 'html': 'Functional programming is the most powerful'}, {'key': 'c', 'html': 'Python is considered Turing Complete because it’s easy to use.'}, {'key': 'd', 'html': 'OOP programming is the most powerful'}, {'key': 'e', 'html': 'None of the above'}]}, 'options': {}, 'true_answer': {'0': {'key': 'a', 'html': 'Algorithms can <i>adapt</i>, like a living thing'}}, 'variant_seed': 'kwn7bj'}",2020-10-19T01:17:01-07,gray1,2020-10-19T08:17:01.221Z,New variant,2020-10-19 01:17:01 (PDT),120900.0,4.0,lecture/algorithms,1373.0,4.0,,76304.0,1.0
14,14,84,,2020-10-19T01:17:01-07,green3,2020-10-19T08:17:01.264Z,View variant,2020-10-19 01:17:01 (PDT),120900.0,4.0,lecture/algorithms,1373.0,4.0,,76304.0,1.0
15,15,84,"{'correct': True, 'submitted_answer': {'0': 'a'}}",2020-10-19T01:26:56-07,blue3,2020-10-19T08:26:56.589Z,Submission,2020-10-19 01:26:56 (PDT),120900.0,4.0,lecture/algorithms,1373.0,4.0,119017.0,76304.0,1.0
16,16,84,,2020-10-19T01:26:56-07,green3,2020-10-19T08:26:56.679Z,View variant,2020-10-19 01:26:56 (PDT),120900.0,4.0,lecture/algorithms,1373.0,4.0,,76304.0,1.0
