,Unnamed: 0,Random_Id,data,date_iso8601,event_color,event_date,event_name,formatted_date,instance_question_id,instructor_question_number,qid,question_id,student_question_number,submission_id,variant_id,variant_number
0,0,255,,2020-10-17T15:00:02-07,gray3,2020-10-17T22:00:02.858Z,Begin,2020-10-17 15:00:02 (PDT),,,,,,,,
1,1,255,,2020-10-17T15:00:02-07,green1,2020-10-17T22:00:02.902Z,View assessment overview,2020-10-17 15:00:02 (PDT),,,,,,,,
2,2,255,,2020-10-18T10:03:27-07,green1,2020-10-18T17:03:27.593Z,View assessment overview,2020-10-18 10:03:27 (PDT),,,,,,,,
3,3,255,,2020-10-18T13:50:20-07,green1,2020-10-18T20:50:20.941Z,View assessment overview,2020-10-18 13:50:20 (PDT),,,,,,,,
4,4,255,"{'params': {}, 'options': {}, 'true_answer': {}, 'variant_seed': '4f6v88'}",2020-10-18T13:50:24-07,gray1,2020-10-18T20:50:24.998Z,New variant,2020-10-18 13:50:24 (PDT),107574.0,1.0,PLEDGE,1046.0,1.0,,74405.0,1.0
5,5,255,,2020-10-18T13:50:25-07,green3,2020-10-18T20:50:25.059Z,View variant,2020-10-18 13:50:25 (PDT),107574.0,1.0,PLEDGE,1046.0,1.0,,74405.0,1.0
6,6,255,"{'correct': True, 'submitted_answer': {'pledge': 'Jessica Yeh Wang'}}",2020-10-18T13:51:01-07,blue3,2020-10-18T20:51:01.155Z,Submission,2020-10-18 13:51:01 (PDT),107574.0,1.0,PLEDGE,1046.0,1.0,115908.0,74405.0,1.0
7,7,255,,2020-10-18T13:51:01-07,green3,2020-10-18T20:51:01.240Z,View variant,2020-10-18 13:51:01 (PDT),107574.0,1.0,PLEDGE,1046.0,1.0,,74405.0,1.0
8,8,255,"{'params': {}, 'options': {}, 'true_answer': {}, 'variant_seed': '1tscjc7'}",2020-10-18T13:51:07-07,gray1,2020-10-18T20:51:07.058Z,New variant,2020-10-18 13:51:07 (PDT),107575.0,2.0,SURVEY,1372.0,2.0,,74409.0,1.0
9,9,255,,2020-10-18T13:51:07-07,green3,2020-10-18T20:51:07.126Z,View variant,2020-10-18 13:51:07 (PDT),107575.0,2.0,SURVEY,1372.0,2.0,,74409.0,1.0
10,10,255,"{'params': {'t': [{'key': 'a', 'html': 'The benefit of doing work online is that the digital “bits” you leave behind aren’t valuable to anyone.'}, {'key': 'b', 'html': 'You can avoid having an information footprint simply by not going online and avoiding using digital devices'}, {'key': 'c', 'html': 'The online world and the real world are different, so as long as your username doesn’t tell anything about you, you don’t put anything about yourself in your online “profile” (e.g., photo, address, etc), and what you post isn’t connected to you, you can safely remain anonymous online'}, {'key': 'd', 'html': 'With the right software and configuration, you can effectively “undo” the sharing of content.'}, {'key': 'e', 'html': 'None of the above'}]}, 'options': {}, 'true_answer': {'t': {'key': 'e', 'html': 'None of the above'}}, 'variant_seed': '3apzgy'}",2020-10-18T13:51:18-07,gray1,2020-10-18T20:51:18.159Z,New variant,2020-10-18 13:51:18 (PDT),107576.0,3.0,lecture/privacy,1029.0,3.0,,74410.0,1.0
11,11,255,,2020-10-18T13:51:18-07,green3,2020-10-18T20:51:18.218Z,View variant,2020-10-18 13:51:18 (PDT),107576.0,3.0,lecture/privacy,1029.0,3.0,,74410.0,1.0
12,12,255,"{'correct': True, 'submitted_answer': {'t': 'e'}}",2020-10-18T13:51:51-07,blue3,2020-10-18T20:51:51.635Z,Submission,2020-10-18 13:51:51 (PDT),107576.0,3.0,lecture/privacy,1029.0,3.0,115913.0,74410.0,1.0
13,13,255,,2020-10-18T13:51:51-07,green3,2020-10-18T20:51:51.724Z,View variant,2020-10-18 13:51:51 (PDT),107576.0,3.0,lecture/privacy,1029.0,3.0,,74410.0,1.0
14,14,255,"{'params': {'0': [{'key': 'a', 'html': 'Imperative programming is the most powerful'}, {'key': 'b', 'html': 'Proving algorithms are <i>correct</i> is easy'}, {'key': 'c', 'html': 'Python is considered Turing Complete because it can be used to write a programming language.'}, {'key': 'd', 'html': 'Python is considered Turing Complete because it’s easy to use.'}, {'key': 'e', 'html': 'None of the above'}]}, 'options': {}, 'true_answer': {'0': {'key': 'e', 'html': 'None of the above'}}, 'variant_seed': 'm2ng42'}",2020-10-18T13:51:54-07,gray1,2020-10-18T20:51:54.423Z,New variant,2020-10-18 13:51:54 (PDT),107577.0,4.0,lecture/algorithms,1373.0,4.0,,74414.0,1.0
15,15,255,,2020-10-18T13:51:54-07,green3,2020-10-18T20:51:54.480Z,View variant,2020-10-18 13:51:54 (PDT),107577.0,4.0,lecture/algorithms,1373.0,4.0,,74414.0,1.0
16,16,255,"{'correct': True, 'submitted_answer': {'0': 'e'}}",2020-10-18T13:52:48-07,blue3,2020-10-18T20:52:48.986Z,Submission,2020-10-18 13:52:48 (PDT),107577.0,4.0,lecture/algorithms,1373.0,4.0,115919.0,74414.0,1.0
17,17,255,,2020-10-18T13:52:49-07,green3,2020-10-18T20:52:49.098Z,View variant,2020-10-18 13:52:49 (PDT),107577.0,4.0,lecture/algorithms,1373.0,4.0,,74414.0,1.0
18,18,255,"{'params': {'0': [{'key': 'a', 'html': 'If <pl-figure file-name=""remove-duplicate-6232.png"" inline=""true"" width=""250""></pl-figure> returns <pl-figure file-name=""list-623.png"" inline=""true"" width=""120""></pl-figure> we know our code is written correctly'}, {'key': 'b', 'html': 'You are not allowed to pass immutable data into command blocks'}, {'key': 'c', 'html': 'Keep is an example of a function that thinks of its data as immutable'}, {'key': 'd', 'html': '<em>Black box testing</em> means you test your code as if it&#8217;s inside a black box with no inputs or outputs'}, {'key': 'e', 'html': 'None of the above'}]}, 'options': {}, 'true_answer': {'0': {'key': 'c', 'html': 'Keep is an example of a function that thinks of its data as immutable'}}, 'variant_seed': '1vvl081'}",2020-10-18T13:52:51-07,gray1,2020-10-18T20:52:51.071Z,New variant,2020-10-18 13:52:51 (PDT),107578.0,5.0,lecture/testing+2048,1375.0,5.0,,74416.0,1.0
19,19,255,,2020-10-18T13:52:51-07,green3,2020-10-18T20:52:51.150Z,View variant,2020-10-18 13:52:51 (PDT),107578.0,5.0,lecture/testing+2048,1375.0,5.0,,74416.0,1.0
20,20,255,"{'correct': None, 'submitted_answer': {'0': 'b'}}",2020-10-18T13:53:37-07,blue3,2020-10-18T20:53:37.142Z,Submission,2020-10-18 13:53:37 (PDT),107578.0,5.0,lecture/testing+2048,1375.0,5.0,115929.0,74416.0,1.0
21,21,255,,2020-10-18T13:53:37-07,green3,2020-10-18T20:53:37.252Z,View variant,2020-10-18 13:53:37 (PDT),107578.0,5.0,lecture/testing+2048,1375.0,5.0,,74416.0,1.0
22,22,255,"{'params': {'0': [{'key': 'a', 'html': 'Managing SETI@Home is hard because people have different kinds of computers with different operating systems and configurations; it&#x27;s a very hectic, heterogeneous space. (Apple Macs, PCs, Linux machines, tablets, ...)'}, {'key': 'b', 'html': 'Augmented Reality (E.g., seeing computer-generated in your field of view, like Google Glass) is the most significant assistive technology available today.'}, {'key': 'c', 'html': 'According to Prof Brian Harvey, Social Networking is the most important use of computers in education so far.'}, {'key': 'd', 'html': 'Virtual Reality (E.g., Oculus Rift) is the most significant assistive technology available today.'}, {'key': 'e', 'html': 'None of the above'}]}, 'options': {}, 'true_answer': {'0': {'key': 'a', 'html': 'Managing SETI@Home is hard because people have different kinds of computers with different operating systems and configurations; it&#x27;s a very hectic, heterogeneous space. (Apple Macs, PCs, Linux machines, tablets, ...)'}}, 'variant_seed': '1raly9q'}",2020-10-18T13:53:40-07,gray1,2020-10-18T20:53:40.382Z,New variant,2020-10-18 13:53:40 (PDT),107579.0,6.0,lecture/global-impact,1374.0,6.0,,74422.0,1.0
23,23,255,,2020-10-18T13:53:40-07,green3,2020-10-18T20:53:40.441Z,View variant,2020-10-18 13:53:40 (PDT),107579.0,6.0,lecture/global-impact,1374.0,6.0,,74422.0,1.0
24,24,255,,2020-10-18T13:53:46-07,green1,2020-10-18T20:53:46.576Z,View assessment overview,2020-10-18 13:53:46 (PDT),,,,,,,,
25,25,255,,2020-10-18T21:28:55-07,green1,2020-10-19T04:28:55.913Z,View assessment overview,2020-10-18 21:28:55 (PDT),,,,,,,,
26,26,255,,2020-10-19T04:30:41-07,green1,2020-10-19T11:30:41.180Z,View assessment overview,2020-10-19 04:30:41 (PDT),,,,,,,,
27,27,255,"{'params': {'0': [{'key': 'a', 'html': '<pl-figure file-name=""correct.png"" inline=""true"" width=""450""></pl-figure>'}, {'key': 'b', 'html': '<pl-figure file-name=""combine-L-length.png"" inline=""true"" width=""450""></pl-figure>'}, {'key': 'c', 'html': '<pl-figure file-name=""list-length-text-L&gt;4.png"" inline=""true"" width=""300""></pl-figure>'}, {'key': 'd', 'html': '<pl-figure file-name=""length-text-L&gt;4.png"" inline=""true"" width=""300""></pl-figure>'}, {'key': 'e', 'html': '<pl-figure file-name=""map-length&gt;4.png"" inline=""true"" width=""450""></pl-figure>'}], '1': [{'key': 'a', 'html': '<pl-figure file-name=""map-words-L.png"" inline=""true"" width=""450""></pl-figure>'}, {'key': 'b', 'html': '<pl-figure file-name=""keep-words-L.png"" inline=""true"" width=""450""></pl-figure>'}, {'key': 'c', 'html': '<pl-figure file-name=""map-list-words-L.png"" inline=""true"" width=""450""></pl-figure>'}, {'key': 'd', 'html': '<pl-figure file-name=""map-L-words.png"" inline=""true"" width=""450""></pl-figure>'}, {'key': 'e', 'html': '<pl-figure file-name=""combine-L-words.png"" inline=""true"" width=""450""></pl-figure>'}]}, 'options': {}, 'true_answer': {'0': {'key': 'a', 'html': '<pl-figure file-name=""correct.png"" inline=""true"" width=""450""></pl-figure>'}, '1': {'key': 'a', 'html': '<pl-figure file-name=""map-words-L.png"" inline=""true"" width=""450""></pl-figure>'}}, 'variant_seed': '5g9lu7'}",2020-10-19T04:30:59-07,gray1,2020-10-19T11:30:59.379Z,New variant,2020-10-19 04:30:59 (PDT),107583.0,10.0,snap/HOFs/map-keep,1378.0,10.0,,76643.0,1.0
28,28,255,,2020-10-19T04:30:59-07,green3,2020-10-19T11:30:59.491Z,View variant,2020-10-19 04:30:59 (PDT),107583.0,10.0,snap/HOFs/map-keep,1378.0,10.0,,76643.0,1.0
29,29,255,"{'correct': True, 'submitted_answer': {'0': 'a', '1': 'a'}}",2020-10-19T04:33:51-07,blue3,2020-10-19T11:33:51.789Z,Submission,2020-10-19 04:33:51 (PDT),107583.0,10.0,snap/HOFs/map-keep,1378.0,10.0,119800.0,76643.0,1.0
30,30,255,,2020-10-19T04:33:51-07,green3,2020-10-19T11:33:51.965Z,View variant,2020-10-19 04:33:51 (PDT),107583.0,10.0,snap/HOFs/map-keep,1378.0,10.0,,76643.0,1.0
31,31,255,,2020-10-19T04:33:56-07,green1,2020-10-19T11:33:56.968Z,View assessment overview,2020-10-19 04:33:56 (PDT),,,,,,,,
32,32,255,,2020-10-19T10:12:55-07,green1,2020-10-19T17:12:55.682Z,View assessment overview,2020-10-19 10:12:55 (PDT),,,,,,,,
33,33,255,,2020-10-19T10:12:58-07,green3,2020-10-19T17:12:58.059Z,View variant,2020-10-19 10:12:58 (PDT),107574.0,1.0,PLEDGE,1046.0,1.0,,74405.0,1.0
34,34,255,,2020-10-19T10:13:00-07,green1,2020-10-19T17:13:00.035Z,View assessment overview,2020-10-19 10:13:00 (PDT),,,,,,,,
35,35,255,,2020-10-19T10:13:02-07,green3,2020-10-19T17:13:02.858Z,View variant,2020-10-19 10:13:02 (PDT),107576.0,3.0,lecture/privacy,1029.0,3.0,,74410.0,1.0
36,36,255,,2020-10-19T10:13:14-07,green1,2020-10-19T17:13:14.872Z,View assessment overview,2020-10-19 10:13:14 (PDT),,,,,,,,
37,37,255,,2020-10-19T10:13:19-07,green3,2020-10-19T17:13:19.753Z,View variant,2020-10-19 10:13:19 (PDT),107576.0,3.0,lecture/privacy,1029.0,3.0,,74410.0,1.0
38,38,255,,2020-10-19T10:13:22-07,green1,2020-10-19T17:13:22.043Z,View assessment overview,2020-10-19 10:13:22 (PDT),,,,,,,,
39,39,255,,2020-10-19T10:13:25-07,green3,2020-10-19T17:13:25.717Z,View variant,2020-10-19 10:13:25 (PDT),107577.0,4.0,lecture/algorithms,1373.0,4.0,,74414.0,1.0
40,40,255,,2020-10-19T10:14:40-07,green3,2020-10-19T17:14:40.254Z,View variant,2020-10-19 10:14:40 (PDT),107578.0,5.0,lecture/testing+2048,1375.0,5.0,,74416.0,1.0
41,41,255,"{'correct': True, 'submitted_answer': {'0': 'c'}}",2020-10-19T10:16:22-07,blue3,2020-10-19T17:16:22.832Z,Submission,2020-10-19 10:16:22 (PDT),107578.0,5.0,lecture/testing+2048,1375.0,5.0,120488.0,74416.0,1.0
42,42,255,,2020-10-19T10:16:22-07,green3,2020-10-19T17:16:22.971Z,View variant,2020-10-19 10:16:22 (PDT),107578.0,5.0,lecture/testing+2048,1375.0,5.0,,74416.0,1.0
43,43,255,,2020-10-19T10:25:21-07,green3,2020-10-19T17:25:21.314Z,View variant,2020-10-19 10:25:21 (PDT),107579.0,6.0,lecture/global-impact,1374.0,6.0,,74422.0,1.0
44,44,255,,2020-10-19T10:25:30-07,green3,2020-10-19T17:25:30.256Z,View variant,2020-10-19 10:25:30 (PDT),107578.0,5.0,lecture/testing+2048,1375.0,5.0,,74416.0,1.0
45,45,255,,2020-10-19T10:25:32-07,green3,2020-10-19T17:25:32.859Z,View variant,2020-10-19 10:25:32 (PDT),107579.0,6.0,lecture/global-impact,1374.0,6.0,,74422.0,1.0
46,46,255,"{'correct': True, 'submitted_answer': {'0': 'a'}}",2020-10-19T10:26:02-07,blue3,2020-10-19T17:26:02.813Z,Submission,2020-10-19 10:26:02 (PDT),107579.0,6.0,lecture/global-impact,1374.0,6.0,120499.0,74422.0,1.0
47,47,255,,2020-10-19T10:26:02-07,green3,2020-10-19T17:26:02.918Z,View variant,2020-10-19 10:26:02 (PDT),107579.0,6.0,lecture/global-impact,1374.0,6.0,,74422.0,1.0
48,48,255,"{'params': {'b': [{'key': 'a', 'html': '\n        112$_{ 10 }$\n    '}, {'key': 'b', 'html': '\n        104$_{ 10 }$\n    '}, {'key': 'c', 'html': '\n        102$_{ 10 }$\n    '}, {'key': 'd', 'html': ' \n        100$_{ 10 }$\n    '}, {'key': 'e', 'html': '\n        106$_{ 10 }$\n    '}, {'key': 'f', 'html': '\n        110$_{ 10 }$\n    '}, {'key': 'g', 'html': '\n        108$_{ 10 }$\n    '}, {'key': 'h', 'html': '\n        98$_{ 10 }$\n    '}], 'i0': 112, 'i1': 110, 'i2': 108, 'i3': 106, 'i4': 104, 'i5': 102, 'i6': 98, 'Base1': '2', 'Base2': '16', 'Base3': '10', 'Number1': 10, 'Number2': 10, 'solution': '100', 'Converted_Number1': '1010', 'Converted_Number2': 'A'}, 'options': {}, 'true_answer': {'b': {'key': 'd', 'html': ' \n        100$_{ 10 }$\n    '}}, 'variant_seed': '12z9pn3'}",2020-10-19T10:52:21-07,gray1,2020-10-19T17:52:21.898Z,New variant,2020-10-19 10:52:21 (PDT),107580.0,7.0,number-multiplication,167.0,7.0,,77037.0,1.0
49,49,255,,2020-10-19T10:52:21-07,green3,2020-10-19T17:52:21.972Z,View variant,2020-10-19 10:52:21 (PDT),107580.0,7.0,number-multiplication,167.0,7.0,,77037.0,1.0
50,50,255,"{'params': {'a': [{'key': 'a', 'html': '\n            Imperative\n        '}, {'key': 'b', 'html': '\n            Functional\n        '}, {'key': 'c', 'html': '\n            Object-Oriented\n        '}, {'key': 'd', 'html': ' \n            Declarative\n        '}], 'b': [{'key': 'a', 'html': '\n            Imperative\n        '}, {'key': 'b', 'html': ' \n            Declarative\n        '}, {'key': 'c', 'html': '\n            Object-Oriented\n        '}, {'key': 'd', 'html': '\n            Functional\n        '}], 'c': [{'key': 'a', 'html': '\n            Functional\n        '}, {'key': 'b', 'html': ' \n            Declarative\n        '}, {'key': 'c', 'html': '\n            Object-Oriented\n        '}, {'key': 'd', 'html': '\n            Imperative\n        '}], 'd': [{'key': 'a', 'html': '\n            Functional\n        '}, {'key': 'b', 'html': ' \n            Declarative\n        '}, {'key': 'c', 'html': '\n            Imperative\n        '}, {'key': 'd', 'html': '\n            Object-Oriented\n        '}], 'Answer1': 'Declarative', 'Answer2': 'Functional', 'Answer3': 'Imperative', 'Answer4': 'Object-Oriented', 'Question1': '<pl-figure file-name=""declarative-3.png"" inline=""true"" width=""250""></pl-figure>', 'Question2': '<pl-figure file-name=""func-3.png"" inline=""true"" width=""250""></pl-figure>', 'Question3': '<pl-figure file-name=""imperative-4.png"" inline=""true"" width=""250""></pl-figure>', 'Question4': '<pl-figure file-name=""oop-1.png"" inline=""true"" width=""250""></pl-figure>'}, 'options': {}, 'true_answer': {'a': {'key': 'd', 'html': ' \n            Declarative\n        '}, 'b': {'key': 'd', 'html': '\n            Functional\n        '}, 'c': {'key': 'd', 'html': '\n            Imperative\n        '}, 'd': {'key': 'd', 'html': '\n            Object-Oriented\n        '}}, 'variant_seed': 'ycuzbf'}",2020-10-19T10:52:39-07,gray1,2020-10-19T17:52:39.289Z,New variant,2020-10-19 10:52:39 (PDT),107581.0,8.0,programming-paradigm,168.0,8.0,,77038.0,1.0
51,51,255,,2020-10-19T10:52:39-07,green3,2020-10-19T17:52:39.404Z,View variant,2020-10-19 10:52:39 (PDT),107581.0,8.0,programming-paradigm,168.0,8.0,,77038.0,1.0
